year,condition,cylinders,fuel,miles,status,transmission,drive,type,color,manufacturer,price_cad
2011.0,good,6 ,gas,94817.0,clean,other,4wd,SUV,silver,toyota,32626.4
2015.0,excellent,6 ,gas,80800.0,clean,automatic,rwd,truck,unknown,chevrolet,38080.0
2014.0,unknown,4 ,gas,73455.0,clean,automatic,fwd,sedan,black,honda,13464.000000000002
2016.0,unknown,6 ,gas,73898.0,clean,automatic,fwd,SUV,other,ford,27185.04
2016.0,unknown,4 ,gas,92027.0,clean,automatic,4wd,SUV,other,chevrolet,23118.640000000003
2014.0,unknown,4 ,gas,113802.0,clean,automatic,fwd,SUV,unknown,ford,16317.28
1997.0,excellent,6 ,gas,81029.0,clean,automatic,4wd,pickup,other,dodge,13593.2
2018.0,unknown,4 ,gas,39087.0,clean,automatic,fwd,mini-van,other,honda,31892.000000000004
2002.0,good,8 ,gas,151503.0,clean,automatic,4wd,truck,black,chevrolet,9452.0
2011.0,excellent,8 ,gas,125988.0,clean,automatic,4wd,SUV,other,chevrolet,23099.600000000002
2014.0,excellent,6 ,gas,41125.0,clean,automatic,4wd,SUV,black,honda,35088.0
2011.0,good,6 ,gas,180513.0,clean,automatic,4wd,SUV,other,chevrolet,9506.400000000001
2011.0,excellent,6 ,gas,109402.0,clean,automatic,4wd,SUV,unknown,kia,13593.2
2015.0,good,10 ,gas,41631.0,clean,automatic,4wd,truck,other,ford,67986.40000000001
2016.0,good,4 ,gas,44403.0,clean,other,fwd,sedan,unknown,volvo,27186.4
2007.0,excellent,8 ,gas,136000.0,clean,automatic,4wd,SUV,black,gmc,15980.000000000002
2004.0,unknown,4 ,gas,139320.0,clean,automatic,4wd,pickup,unknown,gmc,23106.4
